key,title,authors,year,venue,doi_or_identifier,status,central_claim,what_it_establishes,what_it_does_not_establish,relation,primary_source,method,exact_manuscript_sentence_supported,primary_source_verified
Peirce1878,Deduction induction and hypothesis,C. S. Peirce,1878,Popular Science Monthly,,published,Abduction forms explanatory hypotheses,Historical framing of abduction,Modern computational benchmark,background,https://peirce.org/writings/p103.html,philosophical analysis,Abduction provides a philosophical frame for explanatory hypothesis formation.,yes
Harman1965,The inference to the best explanation,Gilbert H. Harman,1965,The Philosophical Review,10.2307/2183532,published,Inference may select the best available explanation,Modern account of explanatory inference,Formal representation escape,background,https://doi.org/10.2307/2183532,philosophical analysis,Abduction provides a philosophical frame for explanatory hypothesis formation.,yes
Lipton2004,Inference to the Best Explanation,Peter Lipton,2004,Routledge,9780415242035,book,Explanatory considerations guide inference,Philosophy of explanatory inference,LLM capability,background,https://www.routledge.com/Inference-to-the-Best-Explanation/Lipton/p/book/9780415242035,philosophical analysis,Abduction provides a philosophical frame for explanatory hypothesis formation.,yes
Boden2004,The Creative Mind: Myths and Mechanisms,Margaret A. Boden,2004,Routledge,9780415314534,book,Distinguishes exploratory combinational and transformational creativity,Conceptual-space framing,An empirical test of LLMs,conceptual ancestor,https://www.routledge.com/The-Creative-Mind-Myths-and-Mechanisms/Boden/p/book/9780415314534,formal/computational concept invention,Representation and predicate invention predate the present benchmark.,yes
Wiggins2006Framework,A preliminary framework for description analysis and comparison of creative systems,Geraint A. Wiggins,2006,Knowledge-Based Systems,10.1016/j.knosys.2006.04.009,published,Formalizes creative search spaces and transformations,Formal vocabulary for transformational creativity,Prospective benchmark evidence,formal ancestor,https://doi.org/10.1016/j.knosys.2006.04.009,formal creative-systems analysis,Creative systems can be described as search over and transformation of conceptual spaces.,yes
Wiggins2006Search,Searching for computational creativity,Geraint A. Wiggins,2006,New Generation Computing,10.1007/BF03037332,published,Models creativity as search over conceptual spaces,Computational search framing,Representation escape by LLMs,formal ancestor,https://doi.org/10.1007/BF03037332,formal creative-systems analysis,Creative systems can be described as search over and transformation of conceptual spaces.,yes
DonohoRendell1995,Rerepresenting and restructuring domain theories: A constructive induction approach,Steve Donoho and Larry A. Rendell,1995,Journal of Artificial Intelligence Research,10.1613/jair.138,published,Theory revision may require a better representation language,Computational importance of representation change,Frozen-LLM prospective assay,nearest conceptual predecessor,https://doi.org/10.1613/jair.138,computational model and conceptual analysis,Prior computational work shows that theory revision may require representation change.,yes
Friedman2018Timber,Representing running and revising mental models: A computational model,S. E. Friedman et al.,2018,Cognitive Science,10.1111/cogs.12574,published,Timber models abductive formulation and revision of mental models,Executable conceptual-change model,Matched LLM proposal factorial,nearest conceptual predecessor,https://doi.org/10.1111/cogs.12574,computational model and conceptual analysis,Prior computational work shows that theory revision may require representation change.,yes
Stahl1993,Predicate invention in inductive logic programming,Irene Stahl,1993,Machine Learning,10.1007/BF00993103,published,New predicates can improve inductive theories,Predicate invention predates this study,Prospective causal jump benchmark,conceptual ancestor,https://doi.org/10.1007/BF00993103,formal/computational concept invention,Representation and predicate invention predate the present benchmark.,yes
MuggletonBuntine1988,Machine invention of first-order predicates by inverting resolution,Stephen Muggleton and Wray Buntine,1988,ICML proceedings,,published,Systems can invent predicates through inverse resolution,Early predicate invention,LLM scaffold attribution,conceptual ancestor,https://dl.acm.org/doi/10.5555/645465.654168,formal/computational concept invention,Representation and predicate invention predate the present benchmark.,yes
LehmanStanley2011,Abandoning objectives: Evolution through the search for novelty alone,Joel Lehman and Kenneth O. Stanley,2011,Evolutionary Computation,10.1162/EVCO_a_00025,published,Novelty search can outperform objective-only search,Behavioral novelty search,Validated representation escape,search ancestor,https://doi.org/10.1162/EVCO_a_00025,evolutionary or quality-diversity search,Novelty and quality-diversity search motivate retaining structurally diverse candidates.,yes
MouretClune2015,Illuminating search spaces by mapping elites,Jean-Baptiste Mouret and Jeff Clune,2015,arXiv,arXiv:1504.04909,preprint,MAP-Elites retains quality across behavioral niches,Quality-diversity archive design,Jump truth criterion,search ancestor,https://arxiv.org/abs/1504.04909,evolutionary or quality-diversity search,Novelty and quality-diversity search motivate retaining structurally diverse candidates.,yes
Cully2015,Robots that can adapt like animals,Antoine Cully et al.,2015,Nature,10.1038/nature14422,published,Quality-diversity repertoires enable rapid adaptation,Empirical value of behavioral archives,Representation invention,search ancestor,https://doi.org/10.1038/nature14422,evolutionary or quality-diversity search,Novelty and quality-diversity search motivate retaining structurally diverse candidates.,yes
SchmidtLipson2009,Distilling free-form natural laws from experimental data,Michael Schmidt and Hod Lipson,2009,Science,10.1126/science.1165893,published,Symbolic regression recovers compact equations,Automated equation discovery,Escape beyond a supplied expression grammar,baseline class,https://doi.org/10.1126/science.1165893,executable symbolic search,Executable equation search can recover compact models inside supplied expression languages.,yes
UdrescuTegmark2020,AI Feynman: A physics-inspired method for symbolic regression,Silviu-Marian Udrescu and Max Tegmark,2020,Science Advances,10.1126/sciadv.aay2631,published,Physics-guided decomposition improves symbolic regression,Strong equation-search method,Typed representation expansion,baseline class,https://doi.org/10.1126/sciadv.aay2631,executable symbolic search,Executable equation search can recover compact models inside supplied expression languages.,yes
Cranmer2020,Discovering symbolic models from deep learning with inductive biases,Miles Cranmer et al.,2020,NeurIPS,,published,Neural guidance can recover symbolic models,Hybrid symbolic model discovery,Prospective grammar escape,baseline class,https://proceedings.neurips.cc/paper/2020/hash/c9f2f917078bd2db12f23c3b413d9cba-Abstract.html,executable symbolic search,Executable equation search can recover compact models inside supplied expression languages.,yes
AlphaTensor2022,Discovering faster matrix multiplication algorithms with reinforcement learning,Alhussein Fawzi et al.,2022,Nature,10.1038/s41586-022-05172-4,published,Search discovers improved algorithms in a formal action space,Machine-discovered algorithms,Autonomous representation invention,adjacent executable search,https://doi.org/10.1038/s41586-022-05172-4,formal search with learned policy,Formal search can discover algorithms inside a designer-specified action space.,yes
FunSearch2023,Mathematical discoveries from program search with large language models,Bernardino Romera-Paredes et al.,2023,Nature,10.1038/s41586-023-06924-6,published,LLM proposals and evolutionary selection yield strong programs,Frozen-LLM executable program search,Escape from an incumbent grammar,nearest search predecessor,https://doi.org/10.1038/s41586-023-06924-6,LLM-guided evolutionary program search,Frozen-model proposals plus executable selection can yield valuable programs.,yes
Wang2024HypothesisSearch,Hypothesis Search: Inductive Reasoning with Language Models,Zirui Wang et al.,2024,ICLR,,published,Natural-language hypotheses compile to programs and are searched against data,LLM inductive hypothesis search,Structural non-membership and intervention gate,nearest benchmark,https://proceedings.iclr.cc/paper_files/paper/2024/hash/a934282496e7b907f5d48d49bb4c9d7d-Abstract-Conference.html,benchmark construction and model evaluation,"Recent benchmarks evaluate generation, validity, coverage or recovery of hypotheses.",yes
Zhou2024HypothesisGeneration,Hypothesis Generation with Large Language Models,Yangqiaoyu Zhou et al.,2024,NLP4Science,10.18653/v1/2024.nlp4science-1.10,published,Iterative hypothesis updates improve classification,LLM data-driven hypothesis generation,Representation-language escape,adjacent benchmark,https://aclanthology.org/2024.nlp4science-1.10/,benchmark construction and model evaluation,Recent benchmarks evaluate generated hypotheses without certifying incumbent-grammar escape.,yes
HypoSpace2025,HypoSpace: A Diagnostic Benchmark for Set-Valued Hypothesis Generation under Underdetermination and Sublinear Coverage Bounds,Tingting Chen; Beibei Lin; Zifeng Yuan; Qiran Zou; Hongyu He; Anirudh Goyal; Yew-Soon Ong; Dianbo Liu,2025,arXiv,arXiv:2510.15614,preprint,Evaluates validity uniqueness and recovery in enumerable hypothesis spaces,Closed-space hypothesis diagnostics,Escape outside the enumerable set,nearest benchmark,https://arxiv.org/abs/2510.15614,benchmark construction and model evaluation,"Recent benchmarks evaluate generation, validity, coverage or recovery of hypotheses.",yes
ResearchBench2026,ResearchBench: Benchmarking LLMs in Scientific Discovery via Inspiration-Based Task Decomposition,Yujie Liu et al.,2026,Findings of ACL,10.18653/v1/2026.findings-acl.644,published,Decomposes discovery into inspiration retrieval hypothesis composition and ranking,Large cross-domain hypothesis benchmark,Formal representation escape,adjacent benchmark,https://aclanthology.org/2026.findings-acl.644/,benchmark construction and model evaluation,Recent benchmarks evaluate generated hypotheses without certifying incumbent-grammar escape.,yes
ProjectionBench2026,ProjectionBench: Evaluating Scientific Hypothesis Generation in LLMs Under Progressive Information Disclosure,A. J. Lew; Y. Cao; M. J. Buehler,2026,arXiv,arXiv:2605.30284,preprint,Evaluates projection of later scientific claims from earlier evidence,Time-separated hypothesis evaluation,Frozen-grammar escape,adjacent benchmark,https://arxiv.org/abs/2605.30284,benchmark construction and model evaluation,Recent benchmarks evaluate generated hypotheses without certifying incumbent-grammar escape.,yes
POPPER2025,POPPER: Automated hypothesis validation with language models,A. Huang et al.,2025,ICML,PMLR 267,published,Sequential falsification controls false discoveries in an agentic workflow,LLM-assisted statistical hypothesis testing,Representation invention,nearest falsification predecessor,https://proceedings.mlr.press/v267/huang25n.html,agentic sequential statistical testing,Agentic workflows can subject generated hypotheses to sequential falsification.,yes
AIScientist2024,The AI Scientist: Towards fully automated open-ended scientific discovery,Sakana AI team et al.,2024,arXiv,arXiv:2408.06292,preprint,Automates idea generation experiments writing and review,Broad ML research automation prototype,Certified representation escape,broader agent system,https://arxiv.org/abs/2408.06292,multi-agent or end-to-end scientific workflow,Language-model agents automate multiple stages of scientific workflows.,yes
